# reg_w   reg_h   stp_x   stp_y   d-score   var(d-score)   conf(d-score)   runtime   var(runtime)   conf(runtime)
4 4 1 1 3.48299300000000000000 .01572970846800000000 .07773496513839110224 365.37100000000000000000 19466.59082900000000000000 86.47708096870892877975
4 4 3 3 2.95219540000000000000 .00293487549224000000 .03357769749549421381 29.63600000000000000000 61.13462400000000000000 4.84618170891682516983
4 4 5 5 2.67440320000000000000 .00346532975176000000 .03648617652531053574 13.23100000000000000000 8.95212900000000000000 1.85446754531860168651
5 5 1 1 3.47696800000000000000 .02811830639740000000 .10393232695184489132 262.05500000000000000000 9885.26688500000000000000 61.62405477199305488750
5 5 3 3 3.02072360000000000000 .01570727272704000000 .07767950753461099536 31.30500000000000000000 38.93898500000000000000 3.86766085348754434967
5 5 5 5 2.70436590000000000000 .00568599693809000000 .04673684396422863296 13.77800000000000000000 14.89159600000000000000 2.39181009266204075860
6 6 1 1 3.29480260000000000000 .01812613501504000000 .08344660584695920631 259.90700000000000000000 11784.80024100000000000000 67.28483380809199858597
6 6 3 3 3.05768660000000000000 .02453962710424000000 .09709347634298011063 38.68400000000000000000 141.68124400000000000000 7.37755153794536361826
6 6 5 5 2.81398440000000000000 .00350202884704000000 .03667886860140163047 18.48800000000000000000 17.71741600000000000000 2.60889297031518715385
7 7 1 1 3.17646750000000000000 .01170223194085000000 .06704870932685383167 286.21800000000000000000 13374.52151600000000000000 71.67953812341817817496
7 7 3 3 2.79482010000000000000 .00443223935009000000 .04126365311906562642 29.29100000000000000000 117.29504900000000000000 6.71267949658256810771
7 7 5 5 2.58178860000000000000 .00204672464264000000 .02804050175579214558 8.38700000000000000000 1.78960100000000000000 .82915204887885309981
